State,Not Losing Chance,Win Rate
11 without A + 2,0.8910758219637664,0.8910758219637664
16 without A + 2,0.8869270346117867,0.8869270346117867
11 without A + 5,0.9090909090909091,0.9090909090909091
8 without A + 10,0.9525142457262821,0.9525142457262821
6 without A + 3,0.8977591036414566,0.8977591036414566
9 without A + 3,0.8872326636422554,0.8872326636422554
8 without A + 3,0.89179548156956,0.89179548156956
11 without A + 3,0.8826519337016575,0.8826519337016575
16 without A + 3,0.8818460812086875,0.8818460812086875
6 without A + 4,0.892526690391459,0.892526690391459
18 without A + 8,0.9174581637268204,0.9137268204432384
11 without A + A,0.3258452461992285,0.3258452461992285
13 without A + A,0.31990461847389556,0.31990461847389556
6 without A + 10,0.9505020257178087,0.9505020257178087
6 without A + 8,0.9138438880706922,0.9138438880706922
13 without A + 8,0.9022813688212927,0.9022813688212927
11 with A + 8,0.9005799502899752,0.9005799502899752
20 with A + 8,1.0,0.9967566436492991
14 with A + 5,0.9127477077787637,0.9127477077787637
13 without A + 2,0.8889315910837817,0.8889315910837817
20 with A + 2,1.0,0.9720503300330033
16 with A + 10,0.9495233120020896,0.9495233120020896
20 without A + 5,1.0,0.9747527719508541
12 with A + 4,0.9096470588235294,0.9096470588235294
18 with A + 4,0.9495873299130047,0.9279500334597368
15 with A + 8,0.9003150959610426,0.9003150959610426
18 with A + 8,0.9080511325409285,0.9035658219331689
16 without A + 8,0.902324489316741,0.902324489316741
5 without A + 2,0.9137001078748651,0.9137001078748651
9 without A + 2,0.8855753646677471,0.8855753646677471
19 without A + 6,0.989935956084172,0.9791857273559011
12 without A + A,0.33123301210773415,0.33123301210773415
15 without A + 2,0.8818203766296475,0.8818203766296475
21 with A + 2,1.0,1.0
8 without A + 4,0.9017179384738314,0.9017179384738314
17 without A + 4,0.9349030470914127,0.90466297322253
21 without A + 5,1.0,1.0
14 without A + 2,0.8779758195188833,0.8779758195188833
11 with A + 9,0.908939014202172,0.908939014202172
19 with A + 9,0.9170770139846366,0.9145164467205043
12 without A + 5,0.9094613523494206,0.9094613523494206
14 without A + 4,0.9023261630815408,0.9023261630815408
16 without A + A,0.32357780912082745,0.32357780912082745
11 with A + 4,0.898840885142255,0.898840885142255
9 without A + 7,0.8972922502334267,0.8972922502334267
19 with A + 4,0.9744615971031065,0.9527348961311225
18 without A + 3,0.9484408420578634,0.9261510750872453
11 without A + 7,0.889589905362776,0.889589905362776
17 with A + 4,0.9325031133250311,0.9058530510585305
15 with A + 3,0.8938787185354691,0.8938787185354691
9 without A + 5,0.9129587528418318,0.9129587528418318
17 with A + A,0.4957690393230463,0.32354405176704826
15 with A + 4,0.9054393305439331,0.9054393305439331
13 with A + 4,0.9121776036565459,0.9121776036565459
14 with A + 4,0.8988625883799569,0.8988625883799569
18 without A + 4,0.9524974969407053,0.929469351429525
17 with A + 5,0.928284854563691,0.9022066198595787
7 without A + A,0.30895140664961634,0.30895140664961634
17 without A + A,0.483528880866426,0.31419223826714804
10 without A + 5,0.91453696070349,0.91453696070349
14 without A + 9,0.899658357585727,0.899658357585727
14 without A + A,0.31815353987806394,0.31815353987806394
11 with A + A,0.31587802313354363,0.31587802313354363
5 without A + 10,0.946922024623803,0.946922024623803
18 with A + 6,0.9807692307692307,0.9776386404293381
12 with A + 2,0.8778343359555761,0.8778343359555761
21 without A + 9,1.0,1.0
5 without A + 9,0.9067524115755627,0.9067524115755627
11 without A + 9,0.9080278839667192,0.9080278839667192
16 with A + 7,0.9033350703491402,0.9033350703491402
15 with A + 2,0.872458925090504,0.872458925090504
12 with A + 9,0.9065116279069767,0.9065116279069767
13 without A + 3,0.891200413490115,0.891200413490115
16 with A + 2,0.8851174934725848,0.8851174934725848
15 with A + 9,0.9020057306590258,0.9020057306590258
17 with A + 8,0.9182801106361579,0.904953482524516
19 with A + 8,0.9957049486461251,0.9127917833800187
7 without A + 9,0.9047109207708779,0.9047109207708779
10 without A + 9,0.9109719575279064,0.9109719575279064
12 with A + 3,0.8917525773195877,0.8917525773195877
19 with A + 3,0.9745714823883971,0.9542286682991147
7 without A + 3,0.9002493765586035,0.9002493765586035
10 without A + 8,0.9019607843137255,0.9019607843137255
8 without A + 2,0.8827751196172249,0.8827751196172249
13 with A + 6,0.865211810012837,0.865211810012837
21 with A + 6,1.0,1.0
8 without A + 9,0.8975928192574459,0.8975928192574459
15 with A + A,0.33742833742833744,0.33742833742833744
13 with A + 7,0.8944954128440367,0.8944954128440367
4 without A + 4,0.9298245614035088,0.9298245614035088
10 without A + 4,0.8938365462937823,0.8938365462937823
15 with A + 6,0.861358574610245,0.861358574610245
7 without A + 4,0.8886450905101481,0.8886450905101481
14 with A + 7,0.8999695956217695,0.8999695956217695
18 with A + 9,0.9183348498635123,0.9151501364877161
13 with A + 2,0.8810828230744441,0.8810828230744441
4 without A + A,0.31543624161073824,0.31543624161073824
21 with A + 3,1.0,1.0
12 with A + 7,0.8946877912395154,0.8946877912395154
6 without A + 6,0.8684790595150624,0.8684790595150624
11 without A + 6,0.8596770525358198,0.8596770525358198
4 without A + 10,0.9445350734094616,0.9445350734094616
5 without A + 3,0.8940914158305463,0.8940914158305463
4 without A + 3,0.9029535864978903,0.9029535864978903
17 with A + 9,0.9085756530310498,0.8965007392804337
21 with A + 9,1.0,1.0
13 with A + 8,0.8943639291465378,0.8943639291465378
16 with A + 8,0.9007692307692308,0.9007692307692308
6 without A + 5,0.9019189765458422,0.9019189765458422
17 with A + 3,0.9216809933142311,0.8915950334288443
17 with A + 6,0.9713367926859402,0.8554484803558191
8 without A + A,0.3225168183616937,0.3225168183616937
6 without A + 9,0.9019189765458422,0.9019189765458422
15 with A + 7,0.8996314148001134,0.8996314148001134
14 with A + 6,0.8683229813664596,0.8683229813664596
8 without A + 5,0.914609469850263,0.914609469850263
13 with A + 3,0.8973616473616474,0.8973616473616474
4 without A + 8,0.8769230769230769,0.8769230769230769
5 without A + 4,0.8922594142259415,0.8922594142259415
5 without A + 5,0.8918345705196182,0.8918345705196182
13 with A + 5,0.9201298701298701,0.9201298701298701
16 with A + 6,0.8602941176470589,0.8602941176470589
10 without A + A,0.32170034111781687,0.32170034111781687
7 without A + 8,0.8978494623655914,0.8978494623655914
5 without A + A,0.34875846501128666,0.34875846501128666
4 without A + 2,0.8820754716981132,0.8820754716981132
4 without A + 7,0.8842794759825328,0.8842794759825328
5 without A + 6,0.8722222222222222,0.8722222222222222
4 without A + 9,0.8832271762208068,0.8832271762208068
4 without A + 6,0.8624454148471615,0.8624454148471615
5 without A + 7,0.8781014023732471,0.8781014023732471
4 without A + 5,0.9095127610208816,0.9095127610208816
